Food Item,Category,Diet Type,State,Serving Size,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g),Fiber (g),Key Nutrients
24 Mantra Organic Atta,Staples,Veg,Uncooked,100g,360,12,74,1.5,11,Organic
5 Star,Sweets,Veg,Ready to Eat,25g,120,1,18,5,0,Caramel
7Up,Beverage,Veg,Ready to Eat,250ml,110,0,28,0,0,Sugar
7Up Free,Beverage,Veg,Ready to Eat,250ml,0,0,0,0,0,Caffeine
Aam Panna,Beverage,Veg,Cooked,1 glass,100,0,25,0,1,Heat Stroke
Aashirvaad Whole Wheat Atta,Staples,Veg,Uncooked,100g,360,12,75,1.5,11,Iron
Act II Popcorn Butter,Snacks,Veg,Uncooked,30g,150,3,15,8,3,Fiber
Adai,Breakfast,Veg,Cooked,1 medium,250,10,38,8,5,Multi Lentil
Afghani Chicken,Main Course,Non-Veg,Cooked,2 pieces,360,28,5,25,0.5,"Cream, Cashew"
Ajwain Paratha,Breads,Veg,Cooked,1 piece,200,3,25,10,2,Digestion
Akki Roti,Breads,Veg,Cooked,1 piece,180,4,30,5,2,Rice Flour
Almonds,Nuts,Veg,Uncooked,10 pcs,70,2.5,2.5,6,1.5,Vit E
Aloo Baingan,Main,Veg,Cooked,1 serving,170,3,22,8,5,Home Style
Aloo Bonda,Snack,Veg,Cooked,2 pieces,250,4,30,14,3,South Indian
Aloo Gobi,Main,Veg,Cooked,1 serving,180,4,25,8,4,Classic
Aloo Matar,Main,Veg,Cooked,1 serving,190,5,28,7,5,Winter
Aloo Methi,Side,Veg,Cooked,1 bowl (150g),200,4,26,9,4.5,"Iron, Carbs"
Aloo Palak,Side,Veg,Cooked,1 bowl (150g),190,5,22,9,5,"Iron, Vitamin K"
Aloo Paratha,Breads,Veg,Cooked,1 piece,260,5,35,11,4,Comfort Food
Aloo Tikki,Snack,Veg,Cooked,2 pieces,280,4,30,16,3,Potato Cutlet
Alpino Muesli,Breakfast,Veg,Ready to Eat,50g,200,6,35,5,4,Nuts
Alpino Peanut Butter,Health,Vegan,Ready to Eat,32g,190,10,7,15,2,Healthy Fats
Amaranth (Rajgira),Grains,Veg,Raw,100g,371,14,65,7,7,"Calcium, Protein"
Amaranth Leaves (Cholai),Vegetables,Veg,Raw,100g,23,2.5,4,0.3,2.5,Calcium
American Chopsuey,Main Course,Veg,Cooked,1 plate,480,10,68,18,4,Crispy Noodles
Amla (Indian Gooseberry),Fruits,Veg,Uncooked,100g,44,0.9,10,0.6,4.3,Immunity
Amritsari Kulcha,Breads,Veg,Cooked,1 piece,300,8,45,10,3,Stuffed
Amti,Main,Veg,Cooked,1 bowl,170,7,22,5,4,Maharashtrian
Amul Butter,Dairy,Veg,Ready to Eat,10g,72,0,0,8,0,Vitamin A
Amul Buttermilk,Beverage,Veg,Ready to Eat,200ml,30,2,3,1.5,0,Probiotics
Amul Cheese Slice,Dairy,Veg,Ready to Eat,20g,62,4,1,5,0,Calcium
Amul Chocobar,Ice Cream,Veg,Ready to Eat,50g,150,2,15,9,0,Sugar
Amul Dark Chocolate,Sweets,Veg,Ready to Eat,20g,110,1,10,7,1,Cocoa
Amul Ghee,Staples,Veg,Uncooked,15g,135,0,0,15,0,Saturated Fat
Amul Gold Milk,Dairy,Veg,Ready to Eat,200ml,160,7,10,9,0,Vitamin A
Amul Kool Cafe,Beverage,Veg,Ready to Eat,200ml,180,6,24,7,0,Caffeine
Amul Lassi,Beverage,Veg,Ready to Eat,200ml,140,4,20,5,0,Calcium
Amul Malai Paneer,Dairy,Veg,Uncooked,100g,289,18,2,23,0,Protein
Amul Masti Dahi,Dairy,Veg,Ready to Eat,100g,60,3.5,4.5,3,0,Probiotics
Amul Pizza Cheese,Dairy,Veg,Ready to Eat,100g,300,20,2,24,0,Mozzarella
Amul Pro Whey Protein,Health,Veg,Uncooked,30g,115,20,5,2,0,Protein
Amul Shrikhand,Dairy,Veg,Ready to Eat,100g,270,6,38,10,0,Sugar
Amul Sugar Free Chocolate,Sweets,Veg,Ready to Eat,20g,100,1,8,7,1,Maltitol
Amul Taaza Milk,Dairy,Veg,Ready to Eat,200ml,120,6,10,6,0,Calcium
Anik Ghee,Staples,Veg,Uncooked,15g,135,0,0,15,0,Saturated Fat
Annapurna Atta,Staples,Veg,Uncooked,100g,360,11,74,1.5,11,Wheat
Appam,Breakfast,Veg,Cooked,2 pieces,180,3,35,4,1,Coconut Milk
Apple,Fruits,Veg,Uncooked,1 medium,95,0.5,25,0.3,4.4,Pectin
Appy Fizz,Beverage,Veg,Ready to Eat,200ml,110,0,28,0,0,Apple
Apricot (Dry),Nuts,Veg,Uncooked,1 piece,20,0.3,4,0.1,0.5,Vit A
Apricot (Fresh),Fruits,Veg,Uncooked,1 medium,17,0.5,4,0.1,0.7,Vit A
Arbi (Colocasia) Masala,Side,Veg,Cooked,1 bowl (150g),260,4,42,9,5,"High Carb, Energy"
Arhar Dal (Plain),Dal,Veg,Cooked,1 bowl (150g),180,9,26,4,6,"Folate, Protein"
Arrowroot Powder,Grains,Veg,Raw,100g,357,0.3,88,0.1,3.4,Digestion
Ash Gourd (Petha),Vegetables,Veg,Raw,100g,13,0.4,3,0.1,0.5,Detox
Atta Laddu,Sweet,Veg,Cooked,1 piece,220,4,28,12,2,Wheat
Avial,Main,Veg,Cooked,1 serving,220,5,20,12,6,Kerala Mix
Aviyal,Main Course,Veg,Cooked,1 bowl (200g),240,5,22,14,6,"Coconut, Mixed Veg"
B Fizz,Beverage,Veg,Ready to Eat,200ml,100,0,25,0,0,Malt
Baby Corn,Vegetables,Veg,Raw,100g,26,2,5,0.3,2,Fiber
Badam Milk,Beverage,Veg,Cooked,1 glass,220,8,25,10,1,Almond
Bagrrys Corn Flakes,Breakfast,Veg,Ready to Eat,30g,110,2,25,0.5,1,Corn
Bagrrys Muesli Crunchy,Breakfast,Veg,Ready to Eat,50g,195,5,38,4,3,Oats
Bagrrys White Oats,Staples,Veg,Uncooked,100g,385,13,65,7,10,Oats
Baingan Bharta,Main,Veg,Cooked,1 serving,140,3,12,8,5,Smoky
Bajra (Pearl Millet),Grains,Veg,Raw,100g,361,12,67,5,1,"Iron, Magnesium"
Bajra Khichdi,Rice,Veg,Cooked,1 bowl,200,8,35,4,6,Fiber
Bajra Roti,Breads,Veg,Cooked,1 piece,120,4,22,2,4,Gluten Free
Bakarkhani,Breads,Veg,Cooked,1 piece,320,6,40,16,1,Crispy
Bakery Biscuit (Jeera),Snack,Veg,Cooked,1 piece,50,0.5,6,2.5,0,Salty
Balaji Masala Wafers,Snacks,Veg,Ready to Eat,30g,160,2,16,10,1,Sodium
Balaji Wafers Salted,Snacks,Veg,Ready to Eat,30g,160,2,15,10,1,Sodium
Balushahi,Sweet,Veg,Cooked,1 piece,250,2,35,12,0,Donut
Bambino Macaroni,Staples,Veg,Uncooked,100g,360,12,74,1,2,Durum Wheat
Bambino Roasted Sooji,Staples,Veg,Uncooked,100g,360,10,72,1,3,Semolina
Bambino Vermicelli,Staples,Veg,Uncooked,100g,350,10,75,1,3,Energy
Bambino Wheat Vermicelli,Staples,Veg,Uncooked,100g,340,11,72,1.5,4,Wheat
Banana,Fruits,Veg,Uncooked,1 medium,105,1.3,27,0.4,3.1,Potassium
Banana Chips,Snack,Veg,Cooked,1 serving,160,1,18,10,2,Kerala
Banana Flower,Vegetables,Veg,Raw,100g,51,1.6,10,0.6,5.7,Iron
Barfi (Plain),Sweet,Veg,Cooked,2 pieces,260,6,34,11,0,Fudge
Barley (Jau),Grains,Veg,Raw,100g,354,12,73,2,17,Beta-glucan
Barnyard Millet (Sanwa),Grains,Veg,Raw,100g,307,6,65,2,9,Fiber
Basmati Rice,Grains,Veg,Raw,100g,345,6.5,78,0.5,1,Carbs
Basundi,Sweet,Veg,Cooked,1 bowl,300,8,35,15,0,Sweetened Milk
Beans Aloo,Side,Veg,Cooked,1 bowl (150g),190,4,24,8,5,"Fiber, Vitamins"
Bedmi Poori,Bread,Veg,Cooked,2 pieces,340,8,38,18,3,Lentil Stuffed
Beetroot,Vegetables,Veg,Uncooked,1 medium,43,1.6,10,0.2,2.8,"Iron, Folate"
Bengali Fish Curry (Rui),Main,Non-Veg,Cooked,1 serving,260,22,6,16,1,Mustard
Besan (Chickpea Flour),Grains,Veg,Raw,100g,387,22,58,7,10,"Protein, Folate"
Besan Chilla,Breakfast,Veg,Cooked,2 medium,260,14,32,8,6,"Protein, Fiber"
Besan Laddu,Sweet,Veg,Cooked,1 piece,180,4,22,10,1,Gram Flour
Bharwa Shimla Mirch,Main,Veg,Cooked,1 serving,200,5,20,10,3,Stuffed Capsicum
Bharwan Baingan,Side,Veg,Cooked,2 pieces (150g),220,3,16,15,5,"Spicy, Oil"
Bharwan Karela,Side,Veg,Cooked,2 pieces (120g),240,4,18,16,4,"Bitter, Healthy"
