ID,Exercise Name,Category,Equipment,Difficulty,MET Value,Description
1,Running (6mph),Cardio,None,Intermediate,9.8,Steady state running at a moderate pace.
2,Sprinting,Cardio,None,Advanced,12.0,Maximum effort running for short intervals.
3,Jump Rope,Cardio,Jump Rope,Intermediate,11.0,High intensity jumping for coordination and cardio.
4,Burpees,HIIT,None,Advanced,8.5,Full body explosive movement combining squat, pushup, and jump.
5,Jumping Jacks,Cardio,None,Beginner,8.0,Classic aerobic conditioning exercise.
6,Mountain Climbers,HIIT,None,Intermediate,8.0,Core and cardio intensive plank variation.
7,High Knees,Cardio,None,Beginner,7.0,Running in place with exaggerated knee lifts.
8,Rowing Machine (Moderate),Cardio,Machine,Intermediate,7.0,Full body low impact cardio.
9,Rowing Machine (Vigorous),Cardio,Machine,Advanced,12.0,High intensity rowing intervals.
10,Cycling (Stationary - Moderate),Cardio,Machine,Beginner,6.8,Steady spinning session.
11,Cycling (Outdoor - 12-14mph),Cardio,Bicycle,Intermediate,8.0,Road cycling at a moderate pace.
12,Elliptical Trainer,Cardio,Machine,Beginner,5.0,Low impact cardio machine.
13,Stair Climber,Cardio,Machine,Intermediate,9.0,Simulates climbing stairs for glutes and cardio.
14,Swimming (Freestyle - Moderate),Cardio,Pool,Intermediate,8.3,Full body resistance cardio in water.
15,Swimming (Breaststroke),Cardio,Pool,Intermediate,5.3,Rhythmic swimming style.
16,Boxing (Punching Bag),Cardio,Gloves/Bag,Advanced,6.0,Striking drills on a heavy bag.
17,Shadow Boxing,Cardio,None,Beginner,4.0,Practicing punches in the air.
18,Zumba / Dance Fitness,Cardio,None,Beginner,5.5,Choreographed dance aerobic workout.
19,Walking (Brisk - 3.5mph),Cardio,None,Beginner,4.3,Fast paced walking.
20,Hiking (Cross Country),Cardio,None,Intermediate,6.0,Walking on uneven terrain/trails.
21,Push-ups,Chest,None,Beginner,3.8,Classic chest and tricep builder.
22,Pull-ups,Back,Bar,Advanced,3.8,Upper back and bicep vertical pull.
23,Chin-ups,Back,Bar,Intermediate,3.8,Supinated grip pull-up focusing on biceps.
24,Air Squats,Legs,None,Beginner,5.0,Bodyweight leg strengthening.
25,Forward Lunges,Legs,None,Intermediate,5.5,Unilateral leg exercise.
26,Glute Bridges,Legs,None,Beginner,3.5,Hip extension for glutes.
27,Tricep Dips (Bench),Arms,Chair/Bench,Beginner,3.8,Tricep isolation using bodyweight.
28,Parallel Bar Dips,Chest,Bars,Advanced,5.0,Compound push exercise for chest/tris.
29,Plank,Core,None,Intermediate,3.0,Static hold for core stability.
30,Side Plank,Core,None,Intermediate,3.0,Oblique focused static hold.
31,Russian Twists,Core,None,Beginner,4.0,Rotational core movement.
32,Bicycle Crunches,Core,None,Intermediate,4.0,Dynamic ab exercise hitting obliques.
33,Leg Raises,Core,None,Intermediate,3.5,Lower ab focused movement.
34,Pike Push-ups,Shoulders,None,Intermediate,4.0,Vertical push simulation for shoulders.
35,Inverted Rows,Back,Bar/Table,Intermediate,3.5,Horizontal pulling movement.
36,Step-ups,Legs,Box/Chair,Beginner,4.5,Unilateral leg press simulation.
37,Calf Raises,Legs,None,Beginner,2.5,Isolation for calves.
38,Wall Sit,Legs,Wall,Beginner,2.5,Isometric quad endurance.
39,Superman,Back,None,Beginner,2.5,Lower back extension.
40,Pistol Squats,Legs,None,Expert,6.0,Single leg squat requiring balance.
41,Barbell Bench Press,Chest,Barbell/Bench,Intermediate,5.0,King of upper body pushing.
42,Dumbbell Bench Press,Chest,Dumbbells/Bench,Intermediate,5.0,Bench press with stabilization.
43,Barbell Squat,Legs,Barbell/Rack,Advanced,6.0,Full body leg compound.
44,Deadlift,Back,Barbell,Advanced,6.0,Full posterior chain builder.
45,Overhead Press (Military),Shoulders,Barbell,Intermediate,5.0,Vertical push for shoulders.
46,Dumbbell Shoulder Press,Shoulders,Dumbbells,Beginner,4.5,Seated or standing shoulder press.
47,Bent Over Row,Back,Barbell,Intermediate,5.0,Horizontal pull for back thickness.
48,Single Arm Dumbbell Row,Back,Dumbbell,Beginner,4.0,Unilateral back exercise.
49,Romanian Deadlift (RDL),Legs,Barbell,Intermediate,5.0,Hamstring focused hinge movement.
50,Goblet Squat,Legs,Dumbbell/Kettlebell,Beginner,5.0,Front loaded squat variation.
51,Dumbbell Lunges,Legs,Dumbbells,Intermediate,5.5,Weighted unilateral leg work.
52,Bicep Curls,Arms,Dumbbells,Beginner,3.0,Isolation for biceps.
53,Hammer Curls,Arms,Dumbbells,Beginner,3.0,Brachialis/Forearm focus.
54,Tricep Extensions,Arms,Dumbbell,Beginner,3.0,Overhead tricep isolation.
55,Skullcrushers,Arms,Barbell/EZ Bar,Intermediate,3.5,Lying tricep extension.
56,Lateral Raises,Shoulders,Dumbbells,Beginner,3.0,Side deltoid isolation.
57,Front Raises,Shoulders,Dumbbells,Beginner,3.0,Front deltoid isolation.
58,Chest Fly,Chest,Dumbbells,Intermediate,3.5,Chest isolation movement.
59,Arnold Press,Shoulders,Dumbbells,Intermediate,4.5,Rotational shoulder press.
60,Dumbbell Shrugs,Back,Dumbbells,Beginner,3.5,Trap isolation.
61,Leg Press,Legs,Machine,Beginner,5.0,Heavy leg compound machine.
62,Leg Extension,Legs,Machine,Beginner,3.5,Quad isolation machine.
63,Leg Curl (Seated/Lying),Legs,Machine,Beginner,3.5,Hamstring isolation.
64,Lat Pulldown,Back,Cable Machine,Beginner,4.0,Vertical pull simulation.
65,Seated Cable Row,Back,Cable Machine,Beginner,4.0,Horizontal back row.
66,Cable Face Pulls,Shoulders,Cable Machine,Intermediate,3.5,Rear delt and rotator cuff work.
67,Tricep Pushdown,Arms,Cable Machine,Beginner,3.0,Tricep isolation cable.
68,Cable Bicep Curl,Arms,Cable Machine,Beginner,3.0,Constant tension bicep curl.
69,Pec Deck / Butterfly,Chest,Machine,Beginner,3.5,Chest isolation machine.
70,Assisted Pull-up,Back,Machine,Beginner,4.0,Pull-up with weight assistance.
71,Smith Machine Squat,Legs,Smith Machine,Beginner,5.0,Guided bar squat.
72,Hack Squat,Legs,Machine,Intermediate,5.5,Machine squat variation.
73,Cable Woodchoppers,Core,Cable Machine,Intermediate,4.0,Rotational core power.
74,Chest Press Machine,Chest,Machine,Beginner,4.0,Guided chest press.
75,Shoulder Press Machine,Shoulders,Machine,Beginner,4.0,Guided overhead press.
76,Kettlebell Swing,Full Body,Kettlebell,Intermediate,9.0,Explosive hip hinge movement.
